grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds
P2,lower,bnu-primary-p2-lower-large-numbers,生活中的大数,short-answer,Core,2,bnu-primary-p2-lower-large-numbers,bnu-primary-p2-lower-assessment-large-numbers|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-measurement,测量,multiple-choice,Core,7,bnu-primary-p2-lower-measurement,bnu-primary-p2-lower-assessment-measurement|bnu-primary-p2-upper-assessment-measurement-unit,
P2,lower,bnu-primary-p2-lower-measurement,测量,fill-in,Foundation,7,bnu-primary-p2-lower-measurement,bnu-primary-p2-lower-assessment-measurement|bnu-primary-p2-upper-assessment-measurement-unit,
P2,lower,bnu-primary-p2-lower-plane-shapes,认识图形,multiple-choice,Core,7,bnu-primary-p2-lower-plane-shapes,bnu-primary-p2-lower-assessment-plane-shapes|bnu-primary-p2-lower-assessment-division-strengthening,
P2,lower,bnu-primary-p2-lower-plane-shapes,认识图形,fill-in,Foundation,7,bnu-primary-p2-lower-plane-shapes,bnu-primary-p2-lower-assessment-plane-shapes|bnu-primary-p2-lower-assessment-division-strengthening,
P2,lower,bnu-primary-p2-lower-three-digit-add-sub,加与减,multiple-choice,Core,7,bnu-primary-p2-lower-three-digit-add-sub,bnu-primary-p2-lower-assessment-three-digit-add-sub|bnu-primary-p1-lower-assessment-within-100-add-sub,
P2,lower,bnu-primary-p2-lower-three-digit-add-sub,加与减,fill-in,Foundation,7,bnu-primary-p2-lower-three-digit-add-sub,bnu-primary-p2-lower-assessment-three-digit-add-sub|bnu-primary-p1-lower-assessment-within-100-add-sub,
P2,lower,bnu-primary-p2-lower-time,时、分、秒,multiple-choice,Core,7,bnu-primary-p2-lower-time,bnu-primary-p2-lower-assessment-time|bnu-primary-p2-lower-assessment-division-strengthening,
P2,lower,bnu-primary-p2-lower-time,时、分、秒,fill-in,Foundation,7,bnu-primary-p2-lower-time,bnu-primary-p2-lower-assessment-time|bnu-primary-p2-lower-assessment-division-strengthening,
P2,upper,bnu-primary-p2-upper-add-sub-review,加与减,multiple-choice,Foundation,2,bnu-primary-p2-upper-add-sub-review,bnu-primary-p2-upper-assessment-within-100-add-sub-unit|bnu-primary-p2-upper-assessment-monthly-1-to-2-integrated,
